case name,CO2 price ($/kgCO2),fixed cost natgas ($/kW/h),fixed cost natgas ccs ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost natgas ccs ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (-),capacity factor wind series (-),capacity natgas (kW),capacity natgas ccs (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch natgas ccs (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),dispatch unmet demand (kW),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW)
engpgp17600pwrpgp0700,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0582965887980658,2.543220273783211,0.0,1.7620181126516783,352.2260022645468,0.21668675883539654,0.5137438877647974,0.11715537536164597,optimal,0.0,0.0,0.29096497791495257,0.7753766603904175,0.0,0.028821817301178672,0.02593912269757029,0.45181916653700877,0.12442591049237876,0.06096696679061701,151.5990186096425,0.0,-1.2969442117637273e-17,0.14926499729308806,0.0
engpgp17600pwrpgp0600,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0535633486629696,2.533024891021315,0.0,1.7491789748378586,358.2029751361528,0.2243480705377205,0.5169959689350944,0.1135734469000075,optimal,0.0,0.0,0.2896636346753051,0.7777808242350476,0.0,0.028953634200784284,0.026057755414029545,0.4540155544424509,0.12656239530528685,0.06201381518168896,154.155889844161,0.0,-3.13839495518407e-17,0.14315408585964076,0.0
engpgp17600pwrpgp0500,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0283269908776886,2.4786658642672528,0.0,1.6807241603183944,395.39321228501876,0.27332140502691404,0.5343351872333277,0.10988970333297522,optimal,0.0,0.0,0.282725224060198,0.7909938786720784,0.0,0.029048422821005594,0.026143050848020988,0.46663455643983515,0.13884668774625375,0.06803295698696207,168.31256010540662,0.0,-3.151665984808048e-17,0.11017765460225724,0.0
engpgp17600pwrpgp0400,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0531854869305648,2.3971053031992957,0.0,1.5389301777181061,418.0834141104621,0.32639443072895996,0.561710353608425,0.10596700662143495,optimal,0.0,0.0,0.28955974647251975,0.7895327768710507,0.0,0.02932643632803706,0.026393295099815202,0.4383598514306408,0.1493282265740158,0.07316884445866709,174.14683419178314,0.0,2.841343104236835e-19,0.08198568499422085,0.0
engpgp17600pwrpgp0300,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0542578763072195,2.400152602778786,0.0,0.19437464916948488,430.41245863634185,0.41780412876243317,0.7851993505382118,0.10128100232909008,optimal,0.0,0.0,0.2898545860804305,0.8013374482461306,0.0,0.005708243351028484,0.005137367647934335,0.045252958958577144,0.1776846115517539,0.08706345292828682,175.91493839600926,0.0,-1.583421646605259e-17,0.07128892399705196,0.0
engpgp17600pwrpgp0200,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.044987303188386,2.373809360126778,0.0,0.0,455.5118140394211,0.4980796146358684,0.8201903667211312,0.09547077310904822,optimal,0.0,0.0,0.2873057617420248,0.8103188275947537,0.0,0.0,0.0,0.0,0.19141659281289172,0.09379200347611313,186.4581060727128,0.0,-2.1096283421390808e-17,0.052729900192851564,0.0
engpgp17600pwrpgp0100,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0337088327405424,2.3274349308584816,0.0,0.0,488.82911288530244,0.642560729559683,0.8247781437628491,0.08946435630447101,optimal,0.0,0.0,0.28420489196742,0.8190084555913072,0.0,0.0,0.0,0.0,0.20237463158107824,0.09916128402235103,200.34822767533242,0.0,-1.51650544219657e-17,0.027179865099520237,0.0
engpgp17600pwrpgp0067,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
engpgp17600pwrpgp0050,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0460843809301508,2.289892577818747,0.0,0.0,501.70049411383144,0.7860547599695069,0.82824985859136,0.08633491656201402,optimal,0.0,0.0,0.2876073890970426,0.81844100937079,0.0,0.0,0.0,0.0,0.2079334825703202,0.10188508410248769,203.58337256755036,0.0,1.4716419228893192e-19,0.014097992813952583,0.0
engpgp17600pwrpgp0010,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0547651181270692,2.258015536082039,0.0,0.0,514.4166189789502,1.1599770716477646,0.8312182643706062,0.08369904885586144,optimal,0.0,0.0,0.2899940456671592,0.818775921342202,0.0,7.361802084695962e-20,-6.036055018128277e-21,6.811084520512684e-19,0.21326984680264835,0.10449987979328712,205.58058852235274,0.0,1.334830213430098e-17,0.002173506389506484,0.0
engpgp17600pwrpgp0007,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0570729579118385,2.254552828469287,0.0,0.0,514.8814770939712,1.2322666328659728,0.8315253349997135,0.08346540822788741,optimal,0.0,0.0,0.29062855640745106,0.8183219356382457,0.0,0.0,0.0,0.0,0.2136238236169522,0.10467333157125537,205.30541982687328,0.0,7.295538294221918e-19,0.001368551316632028,0.0
engpgp17600pwrpgp0000,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,2.5888192000000005e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.0631125328330018,2.247055748178163,0.0,0.0,515.1760519118922,1.6695529384913264,0.8321784206482252,0.08297922393562768,optimal,0.0,0.0,0.2922890595236406,0.8169647644448651,0.0,0.0,0.0,0.0,0.21421861076895427,0.10496478680044842,204.4704607659398,0.0,1.0926144485341183e-17,8.112802667102492e-18,0.0
engpgp34200pwrpgp1100,0.0,-1.0,-1.0,0.0218638,0.0206486,-1.0,0.00423925,5.030546400000001e-05,-1.0,-1.0,1e-08,1.05e-08,-1.0,0.0,0.0,0.0,0.0,-1.0,0.9,6.008,1.13513e-06,0.49,1.14074e-08,1.0,0.27493708379558224,0.363571204277968,0.0,0.0,1.3266415614766909,3.1698142013630832,0.0,2.5745919685337917,130.91274305870104,0.049783282314413604,0.32135446941494433,0.13505140278641822,optimal,0.0,0.0,0.36277229074052425,0.6608752461220317,0.0,0.018647127502800852,0.016781926417074437,0.4302022203010512,0.042709175019400435,0.020926839242570685,57.551846530414295,0.0,0.001970671413894661,0.4915779204049498,0.0
