case name,Nuclear,Nuclear_batt,Nuclear_PGP,Natgas,Natgas_CCS,Solar_expbatt,Wind_expbatt,SolarWind_expbatt,Solar_PGP,Solar_batt,Solar_PGPbatt,Wind_PGP,Wind_batt,Wind_PGPbatt,SolarWind_PGP,SolarWind_batt,SolarWind_PGPbatt
var cost from pgp storage ($/kW/h),-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
pgp storage charging efficiency,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
pgp storage decay rate (1/h)),1.14074e-08,1.14074e-08,1.14074e-08,1.14074e-08,1.14074e-08,1.14074e-08,1.14074e-08,1.14074e-08,1.14074e-08,1.14074e-08,1.14074e-08,1.14074e-08,1.14074e-08,1.14074e-08,1.14074e-08,1.14074e-08,1.14074e-08
problem status,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal
system cost ($ or $/kWh),0.12090335017824702,0.11307355936076095,0.12076064102859436,0.056940696428721356,0.056940696428721356,0.5322497184241667,0.3558745145483186,0.16796132323764476,0.25283137383530985,0.2844284347858407,0.18886288199276974,0.16530375897295,0.23180190234514247,0.14507139507533004,0.13100376325858706,0.14332530597731916,0.11909948093198675
capacity natgas (kW),0.0,0.0,0.0,1.5150184031887943,1.5150184031887943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dispatch natgas (kW),0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity natgas_ccs (kW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dispatch natgas ccs (kW),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity solar (kW),0.0,0.0,0.0,0.0,0.0,10.883169843446929,0.0,1.7901365815588195,5.642491956973441,8.247238751955779,4.334918469911905,0.0,0.0,0.0,0.9649489861441222,1.7654937127662778,1.029542980189752
dispatch solar (kW),0.0,0.0,0.0,0.0,0.0,1.0513134627671235,0.0,0.44029130506695674,1.5006894877512684,1.0520963043733917,1.133179406852808,0.0,0.0,0.0,0.2653002602619686,0.4390706785725156,0.2830595446155833
curtailment solar (kW),0.0,0.0,0.0,0.0,0.0,1.9408735164421982,0.0,0.05188362626261747,0.05064079623903693,1.215375467455247,0.05865043575637842,0.0,0.0,0.0,-1.0527134236398687e-17,0.04632901427487999,-3.5488583669442714e-17
capacity wind (kW),0.0,0.0,0.0,0.0,0.0,0.0,9.293686835476883,5.068054028994971,0.0,0.0,0.0,3.4384568887355016,8.886657213140795,3.327431482853496,2.5191483408262965,4.262435891236731,2.481285101009318
dispatch wind (kW),0.0,0.0,0.0,0.0,0.0,0.0,1.002250725789912,0.5601098095836574,0.0,0.0,0.0,1.1546814345934184,1.0024905499176824,1.11011377228968,0.8261754920067844,0.5618126755021849,0.7903406472936381
curtailment wind (kW),0.0,0.0,0.0,0.0,0.0,0.0,2.3766661891667162,1.2824886970838523,0.0,0.0,0.0,0.09544247730202295,2.228442115069408,0.09964449908379054,0.08971430402227722,0.9878862746323872,0.11178316503729918
capacity nuclear (kW),1.5150184031887943,1.2478787210867806,1.3835801615256405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dispatch nuclear (kW),1.0,1.0010162970166885,1.001323150147764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curtailment nuclear (kW),0.5150184031887943,0.24686242407009223,0.38225701137787643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity storage (kW),0.0,2.2280766341702325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.55916627702238,11.048172845839293,0.0,11.39467162534213,5.278319784418657,0.0,3.9421030858310364,1.684022588860389
energy storage (kW),0.0,0.08854317858929675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.346116707128707,4.818703764228687,0.0,0.2457050458906227,1.6891851891708558,0.0,0.46419348094805235,0.46423200058835584
dispatch to storage (kW),0.0,0.01016196508670041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5209137096593397,0.4772586435188665,0.0,0.024902710105136616,0.09361800907295689,0.0,0.008828271547545324,0.02902830472755005
dispatch from storage (kW),0.0,0.009145668070012058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4688174052859479,0.42952730931177596,0.0,0.02241216018745421,0.08425429072087742,0.0,0.007944917472844766,0.026124947291124218
capacity storage2 (kW),0.0,0.0,0.0,0.0,0.0,18.11949410415257,10.095422571535927,1.4883301218785232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy storage2 (kW),0.0,0.0,0.0,0.0,0.0,3.8848180190668624,0.20701497643981295,0.13436747658423917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dispatch to storage2 (kW),0.0,0.0,0.0,0.0,0.0,0.5130905299364532,0.022504908010018056,0.004009621260605219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dispatch from storage2 (kW),0.0,0.0,0.0,0.0,0.0,0.46177706716932987,0.020254182220106044,0.0036085066099910026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capacity pgp storage (kW),0.0,0.0,9.016271448761934,0.0,0.0,0.0,0.0,0.0,743.1634936916288,0.0,585.5174684937473,748.3972998165033,0.0,664.5217480314542,435.01715305584406,0.0,393.52591257882915
capacity to pgp storage (kW),0.0,0.0,0.00266493728480227,0.0,0.0,0.0,0.0,0.0,2.902950984068785,0.0,0.5748528995416867,0.6764324336530733,0.0,0.43851532099649637,0.39086339032969225,0.0,0.27064690875087705
capacity from pgp storage (kW),0.0,0.0,0.13143824166315404,0.0,0.0,0.0,0.0,0.0,1.3547532996421685,0.0,0.6008872341426226,1.3196975613628785,0.0,0.7379690134849782,0.8163969586134597,0.0,0.5334997138932531
energy pgp storage (kW),0.0,0.0,4.436348783277492,0.0,0.0,0.0,0.0,0.0,418.8658727223197,0.0,334.73980981631615,357.45836635379146,0.0,325.6274768908784,183.9355150478429,0.0,167.64571790965434
dispatch to pgp storage (kW),0.0,0.0,0.002594312824625087,0.0,0.0,0.0,0.0,0.0,0.9817347246680431,0.0,0.16753775320549555,0.3032889351428263,0.0,0.19754184191120128,0.1793601059661847,0.0,0.13822533739417447
dispatch from pgp storage (kW),0.0,0.0,0.0012711626768610238,0.0,0.0,0.0,0.0,0.0,0.48104523691677464,0.0,0.08208968055977808,0.14860750054940777,0.0,0.09679178797360072,0.08788435369743162,0.0,0.06772850292137891
